ID_Pelanggan,Nama,Tahun,Umur,Pekerjaan,Jumlah_Chat,Frekuensi_Konsultasi,Kunjungan_Website,Nilai_Transaksi,Frekuensi_Pembelian,Produk_Diminati,Status_Pembayaran
609,"Habibi",2026,26,Wirausaha,11,1,5,7042963,4,"Paket CCTV",Belum
610,"Olivia",2025,37,Mahasiswa,24,10,4,14720546,2,"IP Camera",Belum
611,Erlangga,2026,20,Kontraktor,33,1,8,7700703,8,"CCTV Outdoor",Lunas
612,"Harjaya",2025,24,Mahasiswa,8,6,19,3631912,8,DVR,Lunas
613,"Nabila",2025,24,Teknisi,35,0,13,6464475,10,"Smart Home CCTV",Belum
614,Setya,2025,33,Mahasiswa,23,6,9,4986906,3,"Paket CCTV",Lunas
615,Iriana,2025,41,"Pegawai Swasta",23,0,6,9444837,4,"Smart Home CCTV",Lunas
616,Umi,2025,34,Karyawan,10,7,2,5052288,9,"Kamera CCTV",Belum
617,"Riyanti",2025,23,Teknisi,31,8,1,5952735,3,"Smart Home CCTV",Belum
618,Yuni,2025,26,Pegawai,33,7,25,12471710,6,"Kamera CCTV",Lunas
619,"Rendy",2026,39,"Pegawai Swasta",31,6,15,0,0,"Paket CCTV",Belum
620,Sidik,2026,33,Freelancer,25,0,22,11146655,6,DVR,Belum
621,Jessica,2026,42,Wirausaha,3,3,16,3267908,4,"Paket CCTV",Lunas
622,"Aris",2025,46,Mahasiswa,23,6,6,8013501,6,"Kamera CCTV",Lunas
623,"Diana",2026,47,Kontraktor,6,2,24,0,0,"Kamera CCTV",Belum
624,Fira,2025,43,Freelancer,12,6,3,11778842,1,DVR,Lunas
625,Aliya,2025,22,Mahasiswa,21,2,17,5783474,4,"Paket CCTV",Belum
626,Rahmi,2026,49,Kontraktor,20,4,21,2845624,4,"Kamera CCTV",Lunas
627,Natalia,2026,20,Mahasiswa,21,2,15,12860467,5,"IP Camera",Belum
628,"Dinda",2025,35,Pegawai,17,3,12,2084656,1,DVR,Lunas
629,Cantika,2025,25,Pegawai,16,3,13,4210055,9,"Smart Home CCTV",Belum
630,"Sinthia",2025,52,Karyawan,4,0,22,0,0,"Smart Home CCTV",Belum
631,"Wibowo",2026,49,Wirausaha,25,0,12,11097451,8,DVR,Lunas
632,"Budiman",2026,51,Freelancer,4,10,22,0,0,"Kamera CCTV",Belum
633,Dasa,2026,22,Kontraktor,32,5,4,8458109,1,DVR,Belum
634,"Haryanti",2025,34,Karyawan,23,7,6,9065267,4,"Smart Home CCTV",Lunas
635,"Suci",2026,45,Mahasiswa,2,1,15,3883175,8,"Smart Home CCTV",Belum
636,"Winarto",2026,32,Wirausaha,10,6,13,13555757,9,"Smart Home CCTV",Lunas
637,"Anggara",2025,35,Wirausaha,32,1,17,11006514,2,"Smart Home CCTV",Lunas
638,Jaswadi,2026,21,Freelancer,20,2,11,8674829,8,"Kamera CCTV",Belum
639,Marsudi,2025,37,"Pegawai Swasta",24,8,1,4520317,8,"Kamera CCTV",Belum
640,"Bagas",2026,47,Teknisi,8,1,2,10190261,9,"Smart Home CCTV",Belum
641,"Mansur",2025,49,Kontraktor,14,1,4,11939894,4,DVR,Lunas
642,"Latif",2026,39,Freelancer,23,2,4,14676219,5,"IP Camera",Belum
643,"Cahya",2025,32,Kontraktor,25,4,9,9940567,6,"Kamera CCTV",Lunas
644,"Saputra",2026,30,Pegawai,33,3,1,8942168,10,"Kamera CCTV",Lunas
645,Sabrina,2025,37,Karyawan,4,10,24,5237449,8,"Smart Home CCTV",Belum
646,Teguh,2026,42,Freelancer,31,0,13,12355846,4,"Kamera CCTV",Lunas
647,Asmadi,2025,35,Mahasiswa,32,3,11,13753505,5,"Paket CCTV",Belum
648,"Maria",2025,42,Pegawai,15,6,20,0,0,"IP Camera",Belum
649,"Puspasari",2025,32,Mahasiswa,35,10,19,4632774,8,"Smart Home CCTV",Belum
650,"Bambang Herlangga",2026,37,Pegawai,17,6,22,4232484,1,"IP Camera",Lunas
651,Kasiran,2025,40,Pegawai,1,10,12,12062218,3,"Smart Home CCTV",Lunas
652,Adi,2026,53,Freelancer,19,10,11,0,0,DVR,Belum
653,"Erik",2026,31,Karyawan,14,7,3,9781659,7,"Paket CCTV",Belum
654,Alek,2025,46,Mahasiswa,34,5,6,0,0,"Paket CCTV",Belum
655,"Ade",2025,55,Kontraktor,11,8,6,7666327,9,"Kamera CCTV",Belum
656,"Rina",2025,37,Wirausaha,28,1,2,4764922,7,"Paket CCTV",Belum
657,"Rudi",2026,37,Pegawai,20,7,2,13017072,2,"Smart Home CCTV",Lunas
658,"Wahab",2026,39,Freelancer,17,0,21,3553035,4,"IP Camera",Lunas
659,Mardio,2025,41,Teknisi,23,7,7,10209326,5,"Kamera CCTV",Lunas
660,"Anggi",2025,38,Teknisi,12,1,9,10664827,9,DVR,Belum
661,Suyanto,2026,41,Kontraktor,11,6,17,2010606,5,"Kamera CCTV",Belum
662,"Wirda",2026,54,Freelancer,10,2,18,6063423,1,"IP Camera",Belum
663,Qori,2026,54,Pegawai,2,7,16,1954743,10,"IP Camera",Belum
664,Purwa,2025,47,Pegawai,2,5,18,3837774,1,"IP Camera",Lunas
665,Gabriella,2026,20,Kontraktor,12,3,22,0,0,"Paket CCTV",Belum
666,Sugondo,2025,24,Kontraktor,29,2,24,8519982,2,"CCTV Outdoor",Belum
667,"Putra",2026,25,Wirausaha,31,6,5,8345336,4,DVR,Lunas
668,"Wahyu",2025,35,Teknisi,29,4,9,9516141,10,"CCTV Outdoor",Lunas
669,"Sodikin",2025,37,Mahasiswa,31,6,8,7525795,3,"Paket CCTV",Lunas
670,Rangga,2026,39,Kontraktor,0,8,22,3402530,5,DVR,Belum
671,"Sintia",2026,23,Karyawan,14,8,18,6195088,1,"Paket CCTV",Lunas
672,Alen,2026,30,"Pegawai Swasta",9,7,12,2258741,9,"Smart Home CCTV",Lunas
673,Rahmi,2026,20,"Pegawai Swasta",20,2,11,6082225,8,DVR,Belum
674,"Rina",2025,47,Freelancer,28,1,18,10548790,5,"IP Camera",Belum
675,"Tina",2025,47,Teknisi,20,2,8,7283686,2,DVR,Belum
676,Raisa,2026,47,"Pegawai Swasta",9,8,1,11743837,1,"Kamera CCTV",Lunas
677,Syahrini,2025,33,Pegawai,7,0,8,7558819,10,"IP Camera",Lunas
678,Uli,2025,30,Kontraktor,30,7,10,2437432,3,"IP Camera",Belum
679,"Titi",2026,38,Pegawai,13,2,6,1725160,3,DVR,Lunas
680,"Rahmat",2026,54,"Pegawai Swasta",24,1,19,6919069,10,"Smart Home CCTV",Belum
681,"Enggar",2025,33,Kontraktor,17,6,3,7705823,4,"Paket CCTV",Lunas
682,"Widia",2026,32,Pegawai,30,6,20,11923742,8,"Paket CCTV",Lunas
683,"Zulfa",2025,34,Kontraktor,27,7,12,4163949,7,"IP Camera",Lunas
684,"Yuni",2025,48,Freelancer,25,4,24,2563720,7,"Kamera CCTV",Lunas
685,Titi,2025,25,Wirausaha,26,3,13,1534395,3,DVR,Lunas
686,Ratna,2026,37,Mahasiswa,19,7,15,12576259,7,"Kamera CCTV",Belum
687,"Eko",2025,32,Kontraktor,7,6,19,12559037,2,"Kamera CCTV",Lunas
688,Edi,2025,21,Pegawai,22,7,17,6882735,1,"IP Camera",Belum
689,"Agung",2025,41,Kontraktor,14,0,11,3749686,10,"Smart Home CCTV",Belum
690,Kezia,2025,34,Teknisi,30,0,10,13074181,6,"CCTV Outdoor",Belum
691,Malika,2025,43,Wirausaha,16,6,12,8672198,5,"IP Camera",Belum
692,"Koko",2025,44,Mahasiswa,4,10,8,4528339,4,"Kamera CCTV",Belum
693,"Raja",2026,21,Teknisi,2,0,24,6160286,1,"IP Camera",Belum
694,"Cahya",2026,24,Karyawan,29,10,6,14579527,4,"Kamera CCTV",Belum
695,"Gina",2026,44,Karyawan,22,7,24,13441950,1,"Smart Home CCTV",Lunas
696,"Suhaela",2025,50,"Pegawai Swasta",21,0,10,12383525,6,"CCTV Outdoor",Lunas
697,Satimin,2026,33,Mahasiswa,31,0,18,12539469,6,"IP Camera",Lunas
698,"Zahra",2025,55,Teknisi,5,6,17,0,0,"IP Camera",Belum
699,"Dirga",2026,44,Kontraktor,4,2,16,10479568,1,DVR,Belum
700,Fathonah,2026,52,Kontraktor,21,2,6,12867626,3,DVR,Lunas
701,"Bayu",2026,26,Wirausaha,18,3,2,6654749,3,"IP Camera",Belum
702,Erdi,2025,20,"Pegawai Swasta",7,6,25,10335350,6,"CCTV Outdoor",Lunas
